explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
"As Chappatta wrote there, those spreads implied a 4% chance of an Altria default over the next five years.",0,"Chappatta wrote there, spreads implied 4% chance Altria default next five years.","[0.0023423349484801292, 0.004142059478908777, 0.009433837607502937, 0.01769411563873291, 0.032196011394262314, 0.044518157839775085, 0.0710308775305748, 0.14417311549186707, 0.3143270015716553, 0.4288961589336395, 0.958151638507843, 1.327949047088623]"
rusco township is one of twenty-six townships in buffalo county nebraska united states,0,rusco township one twenty-six townships buffalo county nebraska united states,"[0.006361770443618298, 0.010274870321154594, 0.01549466047435999, 0.025358708575367928, 0.05426601320505142, 0.10472388565540314, 0.19473658502101898, 0.2536531388759613, 0.5715511441230774, 1.3984096050262451]"
a connection between relationships and performing a dutch oven has been discussed in two undergraduate student newspaper articles and in actress diane farr's relationships/humor book the girl code,0,connection relationships performing dutch oven discussed two undergraduate student newspaper articles actress diane farr's relationships/humor book girl code,"[2.2135413018986583e-05, 4.8280751798301935e-05, 5.9816324210260063e-05, 0.00014793750597164035, 0.0001385221112286672, 0.0003154924197588116, 0.000712645414751023, 0.001477069454267621, 0.001966622890904546, 0.003471454605460167, 0.008641925640404224, 0.015238117426633835, 0.041336540132761, 0.06210549920797348, 0.14585301280021667, 0.28992682695388794, 0.47523367404937744, 1.215679407119751]"
There was also complete regression of lymphadenomegaly.,0,also complete regression lymphadenomegaly.,"[0.1552974432706833, 0.38149893283843994, 0.5699027180671692, 1.5093261003494263]"
Cytomegalovirus retinitis is an opportunistic and vision-threatening disease in immunosuppressed patients.,0,Cytomegalovirus retinitis opportunistic vision-threatening disease immunosuppressed patients.,"[0.019077371805906296, 0.04646627977490425, 0.1482439935207367, 0.24319729208946228, 0.4392845630645752, 0.6652610898017883, 1.5782856941223145]"
"In both cases propofol was used in bolus doses, and is thought to be the probable factor for its development.",0,"cases propofol used bolus doses, thought probable factor development.","[0.014150174334645271, 0.10046705603599548, 0.030382812023162842, 0.0629887506365776, 0.13152596354484558, 0.267009437084198, 0.3557776212692261, 0.46117740869522095, 1.7420897483825684]"
Strong demand and a lack of resources for the Public Defender's Office results in an excessive caseload for public defense attorneys.,0,Strong demand lack resources Public Defender's Office results excessive caseload public defense attorneys.,"[0.0022285012528300285, 0.001953717088326812, 0.0023474826011806726, 0.005002770107239485, 0.011742852628231049, 0.010966677218675613, 0.025589030236005783, 0.051281724125146866, 0.11848500370979309, 0.18045103549957275, 0.39255598187446594, 0.7287639379501343, 1.867216944694519]"
A 29-year-old man had continued treatment with anti-epileptic drugs under the diagnosis of epilepsy for 13 years.,0,29-year-old man continued treatment anti-epileptic drugs diagnosis epilepsy 13 years.,"[0.010268930345773697, 0.013826807960867882, 0.03307425603270531, 0.03352246806025505, 0.08871427923440933, 0.13749538362026215, 0.2250983715057373, 0.6360921859741211, 1.0704123973846436, 1.5359523296356201]"
√äBilibili Company Profile√ä Bilibili Inc. provides online entertainment services for the young generations in the People's Republic of China.,0,√äBilibili Company Profile√ä Bilibili Inc. provides online entertainment services young generations People's Republic China.,"[0.0010424054926261306, 0.004467209335416555, 0.0026248691137880087, 0.004013491328805685, 0.008060685358941555, 0.012651504948735237, 0.04395994916558266, 0.034860819578170776, 0.048748552799224854, 0.15181668102741241, 0.18786144256591797, 0.5897943377494812, 0.7053173780441284, 1.770384430885315]"
"We describe a patient with acute myeloblastic leukemia (AML) who developed nephrotic syndrome after receiving several courses of chemotherapy, including macrophage-colony-stimulating factor (M-CSF).",0,"describe patient acute myeloblastic leukemia (AML) developed nephrotic syndrome receiving several courses chemotherapy, including macrophage-colony-stimulating factor (M-CSF).","[0.0002925943990703672, 0.0009403229923918843, 0.0005233859410509467, 0.0008328215917572379, 0.0014202420134097338, 0.0032079110387712717, 0.005360421724617481, 0.008009592071175575, 0.02776980772614479, 0.018608108162879944, 0.03611297532916069, 0.07075424492359161, 0.10627719014883041, 0.19613419473171234, 0.4135992228984833, 0.8914000391960144, 1.4771355390548706]"
This association has been reported less frequently with tacrolimus.,0,association reported less frequently tacrolimus.,"[0.09247922897338867, 0.22082075476646423, 0.5811920166015625, 0.6058810949325562, 1.412929654121399]"
it is a prequel of the nes ninja gaiden trilogy,0,prequel nes ninja gaiden trilogy,"[0.20720763504505157, 0.376433789730072, 0.2688599228858948, 0.7526363730430603, 1.536373496055603]"
NYSE:TPX is 13.686698.,0,NYSE:TPX 13.686698.,"[0.7788132429122925, 1.2903584241867065]"
"We have had those who follow our work in the name for over a year. Over at BAD BEAT Investing, we put out a buy alert last year on this stock and said plainly there was a major opportunity in the name under $600.",0,"follow work name year. BAD BEAT Investing, put buy alert last year stock said plainly major opportunity name $600.","[0.00010251264029648155, 0.00016028103709686548, 0.8029666543006897, 0.00028468266827985644, 0.0006827827310189605, 0.0010313597740605474, 0.0017052897019311786, 0.0022595806512981653, 0.007455493323504925, 0.006110644433647394, 0.014875290915369987, 0.017832739278674126, 0.03276396542787552, 0.10449422150850296, 0.12045489996671677, 0.20904535055160522, 0.2775239944458008, 0.8029666543006897, 1.4237078428268433]"
the group remained at lakeland for about a month before deploying to the fifteenth air force in italy in early february,0,group remained lakeland month deploying fifteenth air force italy early february,"[0.0027006049640476704, 0.006132443435490131, 0.006628682836890221, 0.01274784654378891, 0.022239925339818, 0.048394884914159775, 0.08083164691925049, 0.19396187365055084, 0.27323997020721436, 0.7881813645362854, 1.4442163705825806]"
San Francisco Sentry Investment (Ca) holds 0% or 208 shares in its portfolio. North Star Asset Management invested 0.06% in Weyerhaeuser Company (NYSE:WY).,0,San Francisco Sentry Investment (Ca) holds 0% 208 shares portfolio. North Star Asset Management invested 0.06% Weyerhaeuser Company (NYSE:WY).,"[2.842275171133224e-05, 7.277605618583038e-05, 7.752700912533328e-05, 0.00017358532932121307, 0.00022229939349927008, 0.0006741299876011908, 0.0008605800103396177, 0.0016725566238164902, 0.002879673382267356, 0.005908055230975151, 0.006718249525874853, 0.015124503523111343, 0.028468195348978043, 0.07758957147598267, 0.09864591807126999, 0.16745410859584808, 0.2973320484161377, 0.8111043572425842, 1.3149490356445312]"
he played one first-class match for pakistan automobiles corporation cricket team in 1986/87,0,played one first-class match pakistan automobiles corporation cricket team 1986/87,"[0.0068387254141271114, 0.013285430148243904, 0.020372040569782257, 0.057173632085323334, 0.0659400075674057, 0.1116243526339531, 0.16893741488456726, 0.28541135787963867, 0.5182474851608276, 1.3542499542236328]"
"After a fall resulting in a leg injury, Curry was placed in the Jamaica, Queens, New York nursing home, where she resided until her death.",0,"fall resulting leg injury, Curry placed Jamaica, Queens, New York nursing home, resided death.","[0.0007935578469187021, 0.0016421359032392502, 0.002753579756245017, 0.004230825696140528, 0.010668226517736912, 0.012559778988361359, 0.023790519684553146, 0.030753906816244125, 0.041272636502981186, 0.06575062870979309, 0.165133535861969, 0.31619611382484436, 0.8749456405639648, 0.990189790725708]"
"The shares were purchased at an average cost of $63.33 per share, with a total value of $126,660.00.",0,"shares purchased average cost $63.33 per share, total value $126,660.00.","[0.009616154246032238, 0.013013437390327454, 0.018920091912150383, 0.036026716232299805, 0.05630821734666824, 0.10924910753965378, 0.44979149103164673, 0.3281472623348236, 0.604088544845581, 1.178597092628479]"
√äGuy Quenneville √° CBC News √°√ä Saskatoon city councillors have effectively closed debate on the idea of reducing the frequency of garbage pickup service. (Jenna Leith/CBC)√ä It went from hot topic to dead issue very quickly.,0,√äGuy Quenneville √° CBC News √°√ä Saskatoon city councillors effectively closed debate idea reducing frequency garbage pickup service. (Jenna Leith/CBC)√ä went hot topic dead issue quickly.,"[5.293076696943899e-07, 6.074647558307333e-07, 1.5434067108799354e-06, 1.7472475519753061e-06, 4.8435094868182205e-06, 9.368191967951134e-06, 1.3048208529653493e-05, 3.5101336834486574e-05, 4.6190732973627746e-05, 0.00013843610940966755, 0.000299771229038015, 0.0003392395155970007, 0.0006211367435753345, 0.0011826232075691223, 0.004179187119007111, 0.006352662108838558, 0.006932616699486971, 0.008807128295302391, 0.015235784463584423, 0.05720825865864754, 0.12384361028671265, 0.07199138402938843, 0.11129134148359299, 0.28805142641067505, 0.5629565119743347, 1.6086012125015259]"
"√äAnd both are passionate about finding ways to provide a quality education to every Florida student. Most middle-class families, their kids are able to play sports, they're able to do afterschool arts programs, they have summer camps, etc., Tuthill told Hatten.",0,"√äAnd passionate finding ways provide quality education every Florida student. middle-class families, kids able play sports, they're able afterschool arts programs, summer camps, etc., Tuthill told Hatten.","[4.156839622737607e-06, 5.683808467438212e-06, 8.657830221636686e-06, 2.2998576241661794e-05, 4.253431688994169e-05, 6.433173984987661e-05, 0.00013507991388905793, 0.00015384654398076236, 0.0007702537695877254, 0.0004750413936562836, 0.0004922007792629302, 0.0015682191587984562, 0.0033794287592172623, 0.014409114606678486, 0.002171081956475973, 0.005153135862201452, 0.005608478561043739, 0.014409114606678486, 0.017580078914761543, 0.0320076048374176, 0.05488218367099762, 0.14231359958648682, 0.13730300962924957, 0.2827666103839874, 0.384640097618103, 0.6421273350715637, 1.5903635025024414]"
√äGovernment will do all it can to support them.,0,√äGovernment support them.,"[0.5149428248405457, 0.7062108516693115, 1.6316195726394653]"
"√äWith Trump, we know who's in charge.",0,"√äWith Trump, know who's charge.","[0.1264871060848236, 0.30981409549713135, 0.3810809552669525, 0.6110955476760864, 1.3350788354873657]"
"The company had a trading volume of 1,117,199 shares, compared to its average volume of 1,054,285.",0,"company trading volume 1,117,199 shares, compared average volume 1,054,285.","[0.010124446824193, 0.01810370199382305, 0.5823066234588623, 0.04331846907734871, 0.11354798078536987, 0.12009245902299881, 0.3693743944168091, 0.5823066234588623, 1.222302794456482]"
"Read More√ä In March 2018, Tesla's shareholders approved Musk's package with about 73% votes in favor, excluding votes from Musk and his family.",0,"Read More√ä March 2018, Tesla's shareholders approved Musk's package 73% votes favor, excluding votes Musk family.","[0.00012710230657830834, 0.00029682356398552656, 0.000435533351264894, 0.001061020651832223, 0.0021742512471973896, 0.003214922035112977, 0.005567396059632301, 0.006576595827937126, 0.02127319760620594, 0.04370870813727379, 0.45453304052352905, 0.18700344860553741, 0.21469169855117798, 0.45453304052352905, 0.5756016969680786, 1.493257999420166]"
Dose-intensive melphalan with blood stem cell support for the treatment of AL amyloidosis: one-year follow-up in five patients.,0,Dose-intensive melphalan blood stem cell support treatment AL amyloidosis: one-year follow-up five patients.,"[0.002099081175401807, 0.0027224081568419933, 0.004688611254096031, 0.006991415284574032, 0.011562046594917774, 0.018135374411940575, 0.042290229350328445, 0.09017662703990936, 0.14284266531467438, 0.18472418189048767, 0.43051648139953613, 1.0015716552734375, 1.525165319442749]"
Summary√ä Provident Financial Services beats Northfield Bancorp on 13 of the 16 factors compared between the two stocks.,0,Summary√ä Provident Financial Services beats Northfield Bancorp 13 16 factors compared two stocks.,"[0.0009153041755780578, 0.0011116676032543182, 0.0029482936952263117, 0.00497270654886961, 0.02618234045803547, 0.015551935881376266, 0.025610817596316338, 0.060262780636548996, 0.11504610627889633, 0.26021867990493774, 0.3693682551383972, 0.6375846862792969, 1.6293715238571167]"
Canine monocytic ehrlichiosis caused by Ehrlichia canis is endemic in many regions of Brazil.,0,Canine monocytic ehrlichiosis caused Ehrlichia canis endemic many regions Brazil.,"[0.011690393090248108, 0.023015249520540237, 0.029731454327702522, 0.05593652278184891, 0.09541813284158707, 0.19892239570617676, 0.28499945998191833, 0.5210658311843872, 0.9212841987609863, 1.4767590761184692]"
√äHe's based in the AFR's Sydney office.,0,√äHe's based AFR's Sydney office.,"[0.08170174807310104, 0.17916253209114075, 0.3057147264480591, 0.6350466012954712, 1.3137664794921875]"
The decrease was the result of lower average borrowings in the third quarter of fiscal 2011 compared to the third quarter of fiscal 2010.,0,decrease result lower average borrowings third quarter fiscal 2011 compared third quarter fiscal 2010.,"[0.00021161604672670364, 0.00036922041908837855, 0.0007369873928837478, 0.0014533891808241606, 0.002725117839872837, 0.09885375201702118, 0.36127352714538574, 0.5639378428459167, 0.03500394523143768, 0.04288516193628311, 0.09885375201702118, 0.36127352714538574, 0.5639378428459167, 1.458071231842041]"
Histologic evaluation was also performed before treatment and in selected patients during treatment.,0,Histologic evaluation also performed treatment selected patients treatment.,"[0.023505739867687225, 0.031389474868774414, 0.05135403200984001, 0.13754531741142273, 0.33842089772224426, 0.9550980925559998, 0.7122517228126526, 1.8241883516311646]"
√äLiberals like taxes.,0,√äLiberals like taxes.,"[0.5069515109062195, 0.689877986907959, 1.9044820070266724]"
"If you're actually interested facts, not hysteria, I suggest that you read the 9/20 defecto retraction. Link√ä -√ä - Women know things that men don't. It's a miracle that men survive at all.",0,"actually interested facts, hysteria, suggest read 9/20 defecto retraction. Link√ä -√ä - Women know things men don't. miracle men survive all.","[1.1734556210285518e-05, 2.7358782972441986e-05, 5.2938030421501026e-05, 0.0001024388475343585, 0.0001965411356650293, 0.0002512714418116957, 0.0005569070926867425, 0.001068396377377212, 0.0028566184919327497, 0.0030307939741760492, 0.009691289626061916, 0.010235720314085484, 0.019780132919549942, 0.030960066244006157, 0.06030695512890816, 0.4417155385017395, 0.13548767566680908, 0.21373246610164642, 0.4417155385017395, 0.7344010472297668, 1.5108630657196045]"
the first event was held in winnipeg in 1974,0,first event held winnipeg 1974,"[0.09376196563243866, 0.24291014671325684, 0.5849002599716187, 0.7575476765632629, 1.5255602598190308]"
"Possibly further complicating their discussion, short-term U.S. interest rates shot up this week, with overnight repo rates rising to 7%, due largely to seasonal factors such as huge payments for taxes and bond supply.",0,"Possibly complicating discussion, short-term U.S. interest rates shot week, overnight repo rates rising 7%, due largely seasonal factors huge payments taxes bond supply.","[8.09644097898854e-06, 1.3334974937606603e-05, 2.9610337151098065e-05, 4.4988530135015026e-05, 0.00015143652854021639, 0.00013692915672436357, 0.005558521021157503, 0.0003088088415097445, 0.000583431392442435, 0.001710210694000125, 0.0025173411704599857, 0.005558521021157503, 0.0036633089184761047, 0.005688440520316362, 0.0089096799492836, 0.018071364611387253, 0.028409039601683617, 0.06785668432712555, 0.06207771599292755, 0.1654171496629715, 0.4957682490348816, 0.6681775450706482, 1.6271978616714478]"
The foreign body of a glue plug offers an ideal surface for bacterial colonization which becomes a reservoir for continuous bacterial dissemination.,0,foreign body glue plug offers ideal surface bacterial colonization becomes reservoir continuous bacterial dissemination.,"[0.0012561283074319363, 0.002440648851916194, 0.004620189778506756, 0.006100333295762539, 0.011575436219573021, 0.029660701751708984, 0.02748285047709942, 0.7355851531028748, 0.11299451440572739, 0.1622888743877411, 0.29588112235069275, 0.35166770219802856, 0.7355851531028748, 1.647010087966919]"
despite the hesitancy he expressed in his letters to rilke about pursuing a military career he continued his military studies and served for 15 years as an officer in the austro-hungarian army,0,despite hesitancy expressed letters rilke pursuing military career continued military studies served 15 years officer austro-hungarian army,"[0.00012927759962622076, 0.0002748551778495312, 0.0003039479488506913, 0.0009178474429063499, 0.0012615195009857416, 0.0025587144773453474, 0.023356948047876358, 0.00486586382612586, 0.009829163551330566, 0.023356948047876358, 0.05356988683342934, 0.07848744094371796, 0.1119038313627243, 0.2806372046470642, 0.43038633465766907, 0.5288461446762085, 1.5089728832244873]"
"Diversifying your holdings among several different investment types and understanding that asset classes can move in and out of favor may help you manage the risk in your investment portfolio. The asset class that performs best one year doesn't necessarily do so the next.2√ä Yale University, 2018 Thomson Reuters, 2019, for the period December 31, 1998 through December 31, 2018.",0,"Diversifying holdings among several different investment types understanding asset classes move favor may help manage risk investment portfolio. asset class performs best one year necessarily next.2√ä Yale University, 2018 Thomson Reuters, 2019, period December 31, 1998 December 31, 2018.","[1.1102790908879001e-09, 1.9388606276038445e-09, 4.808462517047474e-09, 8.20625611908099e-09, 1.482233535909927e-08, 1.7179356291308068e-05, 3.899452494238176e-08, 6.841845845428907e-08, 6.0710026446031407e-05, 1.6961702442586102e-07, 4.5435203332999663e-07, 7.554772878393123e-07, 1.1468964657979086e-06, 2.115648840117501e-06, 5.571536803472554e-06, 1.0067403309221845e-05, 1.7179356291308068e-05, 4.339897714089602e-05, 6.0710026446031407e-05, 4.764031109516509e-05, 6.397440301952884e-05, 7.47246594983153e-05, 0.00017812897567637265, 0.0002211822575191036, 0.000559047912247479, 0.001159928971901536, 0.0013147221179679036, 0.0033194178249686956, 0.011603538878262043, 0.014872569590806961, 0.018238717690110207, 0.03933935984969139, 0.06557189673185349, 0.468723326921463, 0.9594092965126038, 0.3198344111442566, 0.468723326921463, 0.9594092965126038, 1.7781312465667725]"
"Given the current debate about the risks of hormonal replacement therapy, more women are seeking alternative therapies for menopausal symptoms.",0,"Given current debate risks hormonal replacement therapy, women seeking alternative therapies menopausal symptoms.","[0.000562171102501452, 0.0015755539061501622, 0.003447327995672822, 0.005882564000785351, 0.009215801022946835, 0.025509029626846313, 0.032657403498888016, 0.04370611160993576, 0.0809815376996994, 0.264906644821167, 0.49761003255844116, 0.8261064291000366, 1.8320856094360352]"
They see greed leading to economic collapse; and lust leading to marriage and family breakdown with lawless young people.,0,see greed leading economic collapse; lust leading marriage family breakdown lawless young people.,"[0.0018436674727126956, 0.0037634887266904116, 0.03554040193557739, 0.005254569463431835, 0.0123317064717412, 0.02067183330655098, 0.03554040193557739, 0.11668054759502411, 0.13337789475917816, 0.43282315135002136, 0.5884304046630859, 0.5687876343727112, 1.8704676628112793]"
"√äThe company said it expects an annual loss at the bottom of its expectations, blaming weak consumer confidence due to heightened political and Brexit uncertainties. We are not anticipating any improvement in this for the rest of our financial year and are closely monitoring market conditions and customer behavior particularly during the important trading month of September, Pendragon said. Mirroring the troubles of its rival Lookers, which issued a profit warning in July, Pendragon also said challenges would continue into the second half.",0,"√äThe company said expects annual loss bottom expectations, blaming weak consumer confidence due heightened political Brexit uncertainties. anticipating improvement rest financial year closely monitoring market conditions customer behavior particularly important trading month September, Pendragon said. Mirroring troubles rival Lookers, issued profit warning July, Pendragon also said challenges would continue second half.","[4.618880148146709e-13, 6.80769134640824e-13, 0.04943293333053589, 3.503752192893228e-12, 6.947950461494434e-12, 1.3773759043045342e-11, 3.909237517030206e-11, 5.6478238752433185e-11, 1.1679202049919013e-10, 1.1096781826758217e-10, 2.722563841039971e-10, 3.921453439748035e-10, 4.706605660764751e-10, 1.0402794181629815e-09, 2.133851095820205e-09, 3.1017284296552816e-09, 4.999250791115628e-09, 9.222275387799073e-09, 1.9298418862945255e-08, 3.697787676060216e-08, 5.3215654105542853e-08, 1.0908071601534175e-07, 1.978896051468837e-07, 5.702567591470142e-07, 8.315228114952333e-07, 2.4601552013336914e-06, 1.654495576985937e-06, 3.2123086839419557e-06, 5.312915163813159e-06, 5.73342413190403e-06, 1.4405130968953017e-05, 1.973475627892185e-05, 5.04772033309564e-05, 0.03401348367333412, 0.00011500933760544285, 0.00018170195107813925, 0.0002965969906654209, 0.0006036784034222364, 0.0016181692481040955, 0.0022806283086538315, 0.00419149175286293, 0.005409411154687405, 0.01326221413910389, 0.03401348367333412, 0.022131890058517456, 0.04943293333053589, 0.14813901484012604, 0.18835404515266418, 0.42487117648124695, 0.8804836869239807, 1.7472083568572998]"
another form uses an iron mould dipped in diples batter and cooked in cooking oil until the diples separates from the mould,0,another form uses iron mould dipped diples batter cooked cooking oil diples separates mould,"[0.0008799423230811954, 0.002942030318081379, 0.004125351086258888, 0.005547292530536652, 1.433668613433838, 0.02233358845114708, 0.6042304039001465, 0.05449782311916351, 0.12651120126247406, 0.15190094709396362, 0.21623840928077698, 0.6042304039001465, 0.7825049161911011, 1.433668613433838]"
the women's lacrosse team has won nine including three consecutive national championships in 2009 2010 2011 consecutive championships in 2014 and 2015 and another national crown in 2017 and 2019,0,women's lacrosse team nine including three consecutive national championships 2009 2010 2011 consecutive championships 2014 2015 another national crown 2017 2019,"[1.8978411389980465e-05, 2.789438804029487e-05, 4.509701830102131e-05, 8.436375355813652e-05, 0.00018402124987915158, 0.0002554972597863525, 0.02360576204955578, 0.18977001309394836, 0.022427111864089966, 0.0022945688106119633, 0.0030106359627097845, 0.005711059086024761, 0.02360576204955578, 0.022427111864089966, 0.033884525299072266, 0.04066905379295349, 0.10541880130767822, 0.18977001309394836, 0.27873462438583374, 0.7506853342056274, 1.6720746755599976]"
guest appearances tony leung ka-fai as chef zhou,0,guest appearances tony leung ka-fai chef zhou,"[0.024397341534495354, 0.038202498108148575, 0.1421016901731491, 0.2001555860042572, 0.4340340793132782, 0.6777623295783997, 1.701794147491455]"
"Victory Capital Management Inc. raised its holdings in Precision BioSciences by 474.9% in the second quarter. Victory Capital Management Inc. now owns 136,830 shares of the company's stock valued at $1,813,000 after acquiring an additional 113,030 shares in the last quarter.",0,"Victory Capital Management Inc. raised holdings Precision BioSciences 474.9% second quarter. Victory Capital Management Inc. owns 136,830 shares company's stock valued $1,813,000 acquiring additional 113,030 shares last quarter.","[9.562422201270238e-05, 0.00019055057782679796, 0.0006403768784366548, 0.0006753214984200895, 2.053572416116367e-06, 6.0760698943340685e-06, 6.525092885567574e-06, 7.498157629015623e-06, 1.4205685147317126e-05, 2.2638867449131794e-05, 1.3358027935028076, 9.562422201270238e-05, 0.00019055057782679796, 0.0006403768784366548, 0.0006753214984200895, 0.0017275749705731869, 0.0013977542985230684, 0.34759101271629333, 0.006005879957228899, 0.0092556681483984, 0.014792745001614094, 0.03351043909788132, 0.061788588762283325, 0.16395729780197144, 0.249045729637146, 0.34759101271629333, 0.5451188683509827, 1.3358027935028076]"
"In view of the numerous events that happened within the 2018 Legislative Year, my address today is a concise account of my government's performance during the course of the year. It focuses on key achievements, legislative frameworks, policy concerns and other matters of national significance.",0,"view numerous events happened within 2018 Legislative Year, address today concise account government's performance course year. focuses key achievements, legislative frameworks, policy concerns matters national significance.","[2.0192514966765884e-06, 2.8870672394987196e-06, 4.512097802944481e-06, 6.9944894676154945e-06, 2.497233981557656e-05, 3.180761996190995e-05, 8.973615331342444e-05, 0.0001171975236502476, 0.0001733103854348883, 0.00036795836058445275, 0.000986732542514801, 0.0013017544988542795, 0.0045945607125759125, 0.002720442833378911, 0.011834666132926941, 0.006153495982289314, 0.007952113635838032, 0.011036325246095657, 0.018113160505890846, 0.026029203087091446, 0.05112603306770325, 0.14795902371406555, 0.2754014730453491, 0.3767024874687195, 0.6284914016723633, 1.2951455116271973]"
"S-A conduction through two pathways, the first with 2/1 block the second having 0.12-0.14 s longer conduction time and with occasional 2/1 block was proposed for the explanation of the alternating P-P interval and other electrocardiographic features seen.",0,"S-A conduction two pathways, first 2/1 block second 0.12-0.14 longer conduction time occasional 2/1 block proposed explanation alternating P-P interval electrocardiographic features seen.","[6.847178610769333e-06, 0.0014373009325936437, 1.9632872863439843e-05, 2.5358167476952076e-05, 5.887784936930984e-05, 0.00533496355637908, 0.015261424705386162, 0.0003021106531377882, 0.0007128147408366203, 0.0008802164811640978, 0.0014373009325936437, 0.0021094144321978092, 0.003468317911028862, 0.00533496355637908, 0.015261424705386162, 0.037628307938575745, 0.025620244443416595, 0.05085732787847519, 0.09704764932394028, 0.18039949238300323, 0.3289024531841278, 0.7205665707588196, 1.88581120967865]"
"Still the mortality due to shock is unacceptably high, because of the monitoring/ diagnostic techniques limitations and short time span of shock development.",0,"Still mortality due shock unacceptably high, monitoring/ diagnostic techniques limitations short time span shock development.","[0.0008664536289870739, 0.0015005528694018722, 0.0019088108092546463, 0.5388010740280151, 0.00612221285700798, 0.008849847130477428, 0.016560420393943787, 0.03744203597307205, 0.044314805418252945, 0.06364335864782333, 0.12324369698762894, 0.20486131310462952, 0.4957945942878723, 0.5388010740280151, 2.081026077270508]"
he was named to the division i-aa all american twice (1998√¢‚Ç¨‚Äú99) becoming at the time just maine's second multiple time all american after john huard,0,named division i-aa american twice (1998√¢‚Ç¨‚Äú99) becoming time maine's second multiple time american john huard,"[0.0012982869520783424, 0.0015915490221232176, 0.0032921619713306427, 0.4985344707965851, 0.012717222794890404, 0.01956889219582081, 0.020968614146113396, 0.3419032692909241, 0.06709674000740051, 0.1610303819179535, 0.1721004694700241, 0.3419032692909241, 0.4985344707965851, 0.9713461995124817, 1.7058911323547363]"
many were lost at sayler's creek and only 1 officer and 27 men surrendered on april 9 1865,0,many lost sayler's creek 1 officer 27 men surrendered april 9 1865,"[0.004178943578153849, 0.0058803074061870575, 0.014265833422541618, 0.0159127376973629, 0.024646829813718796, 0.05043872818350792, 0.07859572023153305, 0.12381744384765625, 0.4603623151779175, 0.35925763845443726, 0.6997594237327576, 1.3285369873046875]"
√äOur members also love to visit their horses. Many members visit Mark's barns in Lansdowne and at First Line (Training Center).,0,√äOur members also love visit horses. Many members visit Mark's barns Lansdowne First Line (Training Center).,"[8.609941869508475e-05, 0.006617908366024494, 0.000252798869041726, 0.00048184918705374, 0.013759213499724865, 0.0017724322387948632, 0.0037748701870441437, 0.006617908366024494, 0.013759213499724865, 0.038841363042593, 0.09091366827487946, 0.1062568724155426, 0.26131439208984375, 0.32231849431991577, 0.7940341830253601, 1.2149906158447266]"
serena williams successfully defended her title defeating jelena jankovi√§‚Ä° in the final 3√¢‚Ç¨‚Äú6 6√¢‚Ç¨‚Äú0 6√¢‚Ç¨‚Äú2,0,serena williams successfully defended title defeating jelena jankovi√§‚Ä° final 3√¢‚Ç¨‚Äú6 6√¢‚Ç¨‚Äú0 6√¢‚Ç¨‚Äú2,"[0.0026458301581442356, 0.004324479028582573, 0.009059595875442028, 0.014725685119628906, 0.0333544947206974, 0.045356009155511856, 0.13603930175304413, 0.15765927731990814, 0.34410253167152405, 0.6108725070953369, 0.7954995632171631, 1.9825377464294434]"
"√äMust have an in-depth knowledge/experience with balance sheets, income statements, and cash flow statements. Must have education/understanding in completing monthly journal entries and assigning expenses to corresponding contracts.",0,"√äMust in-depth knowledge/experience balance sheets, income statements, cash flow statements. Must education/understanding completing monthly journal entries assigning expenses corresponding contracts.","[5.029832755099051e-05, 7.482024375349283e-05, 0.00014652113895863295, 0.00014021644892636687, 0.00022111699217930436, 0.0003541100595612079, 0.00069844676181674, 0.0011627646163105965, 0.0018221387872472405, 0.003191534895449877, 0.0068554929457604885, 0.012858059257268906, 0.023237869143486023, 0.02724178321659565, 0.057587288320064545, 0.12151958048343658, 0.14395049214363098, 0.3389500379562378, 0.5470174551010132, 1.3481122255325317]"
